COLGATE,,,
,,,
Ingredient,Description,Origin,Health Impact
Fluoride,Strengthens tooth enamel and prevents cavities,"Naturally found in water, rocks, and soil",Healthy in regulated amounts
"Abrasives (e.g., Calcium Carbonate, Silica)",Scrubs away plaque and food particles,Derived from rocks (limestone) and sand,Generally healthy but excessive use can wear enamel
Glycerin,Retains moisture to prevent toothpaste from drying out,Derived from plant oils or synthetically made,Safe and non-toxic
Sodium Lauryl Sulfate (SLS),Surfactant that helps toothpaste foam,"Derived from coconut or palm oil, or synthetically","Controversial, may cause irritation"
"Flavoring Agents (e.g., Mint, Sorbitol)","Provides flavor, typically minty","Mint from peppermint/spearmint, sorbitol from corn syrup","Healthy, does not contribute to cavities"
"Humectants (e.g., Propylene Glycol, Sorbitol)",Retains moisture in toothpaste,"Propylene glycol is synthetic, sorbitol from fruits","Generally safe, but some people are sensitive"
"Thickeners (e.g., Xanthan Gum, Carrageenan)",Gives toothpaste its gel-like consistency,"Xanthan gum from bacterial fermentation, carrageenan from seaweed","Safe, though carrageenan has debated effects"
"Preservatives (e.g., Sodium Benzoate)",Prevents microbial growth to extend shelf life,Sodium benzoate is synthetic but also in fruits,Safe in regulated amounts
"Colorants (e.g., Titanium Dioxide)",Used for whitening or giving toothpaste a uniform color,Titanium dioxide is a naturally occurring mineral,"Safe, though concerns exist in food usage"
"Antibacterial Agents (e.g., Triclosan, Zinc Citrate)",Controls plaque and gingivitis,"Triclosan is synthetic, zinc citrate derived from zinc","Triclosan is controversial, zinc citrate is safe"
Water,Solvent used to dissolve other ingredients,Purified and deionized water,Safe and essential
,,,
PEPSODENT,,,
Ingredient,Description,Origin,Health Impact
Fluoride,Prevents cavities by strengthening tooth enamel and fighting tooth decay,Chemically synthesized,Healthy in regulated amounts
Calcium Carbonate,A mild abrasive used to remove plaque and surface stains,Sourced from minerals like limestone or chalk,Healthy for external use
Sodium Lauryl Sulfate (SLS),A surfactant that helps the toothpaste foam,"Derived from natural oils, chemically processed",Mildly irritating for some people
Silica,A gentle abrasive that scrubs away plaque and food debris,Derived from natural minerals like quartz,Healthy
Glycerin,A humectant that keeps the toothpaste from drying out,Derived from plant oils or synthetically produced,Healthy
Sodium Saccharin,An artificial sweetener used to enhance flavor without adding sugar,Chemically synthesized,Healthy in moderation
Hydrated Silica,A thickening agent and abrasive for improved texture and cleaning,Derived from natural silica,Healthy
Xanthan Gum,A thickening and stabilizing agent that ensures smooth texture,Natural product from fermentation of sugar,Healthy
Titanium Dioxide,A whitening agent for bright appearance,Naturally occurring mineral,"Controversial, but safe in small amounts"
